Land,Id,Name,lat,long,population
BW,8,Baden-Wuerttemberg,48.6296972,9.1949534,11069533
BY,9,Bayern,48.9467562,11.4038717,13076721
BE,11,Berlin,52.5170365,13.3888599,3644826
BB,12,Brandenburg,52.8455492,13.2461296,2511917
HB,4,Bremen,53.0758196,8.8071646,682986
HH,2,Hamburg,53.550341,10.000654,1841179
HE,6,Hessen,50.6118537,9.1909725,6265809
NI,3,Niedersachen,53.7735234,12.5755746,1609675
MV,13,Mecklenburg-Vorpommern,52.6763734,9.9070666,7982448
NW,5,Nordrhein-Westfalen,51.4781796,7.5542336,17932651
RP,7,Rheinland-Pfalz,49.9531599,7.310646,4084844
SL,10,Saarland,49.4173988,6.9805789,990509
SN,14,Sachsen,50.9295798,13.4585052,4081000
ST,15,Sachsen-Anhalt,52.0198439,11.74437,2208321
SH,1,Schleswig-Holstein,54.0757442,9.9815377,2896712
TH,16,Thueringen,50.8478592,11.0715009,2143145